date,R_fighter,B_fighter,Winner,weight_class,gender,no_of_rounds,R_current_win_streak,B_current_win_streak,R_longest_win_streak,B_longest_win_streak,R_current_lose_streak,B_current_lose_streak,R_wins,B_wins,R_losses,B_losses,R_total_rounds_fought,B_total_rounds_fought,R_total_title_bouts,B_total_title_bouts,R_win_by_KO/TKO,B_win_by_KO/TKO,R_win_by_Submission,B_win_by_Submission,R_Height_cms,B_Height_cms,R_Reach_cms,B_Reach_cms,R_age,B_age,R_avg_SIG_STR_landed,B_avg_SIG_STR_landed,R_avg_SIG_STR_pct,B_avg_SIG_STR_pct,R_avg_SUB_ATT,B_avg_SUB_ATT,R_avg_TD_landed,B_avg_TD_landed,R_avg_TD_pct,B_avg_TD_pct,R_Stance,B_Stance,R_ufc_fights,B_ufc_fights
2026-02-21,Dan Ige,Melquizael Costa,Blue,Featherweight,MALE,3,0,5,6,5,1,0,12,6,9,2,58,18,0,0,5,1,2,2,170.18,177.8,180.34,180.34,34,29,3.6,4.38,0.45,0.49,0.2,1.1,0.93,2.0,0.26,0.4,Orthodox,Southpaw,21,8
2026-02-21,Zach Reese,Michel Pereira,Blue,Middleweight,MALE,3,2,0,2,8,0,3,5,9,2,5,13,34,0,0,1,2,2,3,193.04,185.42,195.58,185.42,31,32,4.48,4.46,0.54,0.51,1.3,0.7,2.8,1.21,0.61,0.56,Switch,Orthodox,7,14
2026-02-21,Chidi Njokuani,Carlos Leal,Blue,Welterweight,MALE,3,0,0,3,1,1,1,6,1,4,2,20,5,0,0,4,1,0,0,190.5,180.34,203.2,187.96,37,31,5.16,8.75,0.61,0.47,0.1,0.0,0.0,0.43,0.0,0.11,Orthodox,Orthodox,10,3
2026-02-21,Ramiz Brahimaj,Punahele Soriano,Blue,Welterweight,MALE,3,3,3,3,3,0,0,5,7,3,4,15,24,0,0,1,4,4,0,177.8,180.34,182.88,182.88,33,33,2.29,4.42,0.48,0.53,1.6,0.1,1.99,1.97,0.34,0.51,Orthodox,Southpaw,8,11
2026-02-21,Jordan Leavitt,Yadier del Valle,Red,Featherweight,MALE,3,1,3,2,3,0,0,6,3,3,0,15,5,0,0,2,0,3,2,175.26,175.26,180.34,175.26,30,29,2.21,4.05,0.57,0.6,1.1,2.0,3.15,1.23,0.34,0.42,Southpaw,Southpaw,9,3
2026-02-07,Mario Bautista,Vinicius Oliveira,Red,Bantamweight,MALE,5,0,5,8,5,1,0,10,5,3,0,29,13,0,0,1,2,3,0,175.26,175.26,175.26,177.8,32,30,5.3,4.73,0.48,0.43,0.8,0.2,1.91,1.45,0.38,0.46,Switch,Switch,13,5
2026-02-07,Michal Oleksiejczuk,Marc-Andre Barriault,Red,Middleweight,MALE,3,2,0,2,2,0,1,9,6,7,9,27,36,0,0,8,3,0,1,182.88,185.42,187.96,187.96,30,35,5.85,5.65,0.53,0.47,0.0,0.1,1.02,0.34,0.42,0.28,Southpaw,Orthodox,16,15
2026-02-07,Jean Matsumoto,Farid Basharat,Blue,Bantamweight,MALE,3,1,6,3,6,0,0,4,6,1,0,14,16,0,0,0,0,1,1,167.64,172.72,172.72,180.34,26,28,5.37,4.25,0.39,0.52,0.5,0.3,3.0,3.34,0.48,0.44,Orthodox,Orthodox,5,6
2026-02-07,Dustin Jacoby,Julius Walker,Red,Light Heavyweight,MALE,3,2,1,4,1,0,0,10,1,6,1,39,6,0,0,6,0,0,0,190.5,193.04,193.04,198.12,37,26,5.4,3.73,0.48,0.53,0.0,0.0,0.32,4.09,0.25,0.38,Orthodox,Orthodox,16,2
2026-02-07,Nikolay Veretennikov,Niko Price,Red,Welterweight,MALE,3,0,0,1,2,1,2,1,8,4,9,14,39,0,0,0,4,0,2,185.42,182.88,187.96,193.04,36,36,2.69,5.11,0.56,0.43,0.4,0.6,0.42,1.06,0.16,0.3,Orthodox,Orthodox,5,17
